# Data generated with generateMultisineData.py script.
# TimeStep= 0.001 EndTime = 10.0 bias = 0.0 amplitude = 2.0
# frequencies = [0.2, 0.5, 0.9, 1.7, 2.8, 4.0]
# phases = [0.0, 1.1, 2.2, 0.7, 1.9, 2.8]
# time, data
0.000000000000000000e+00,1.574000769324455096e+00
1.000000000000000021e-03,1.564384268860858462e+00
2.000000000000000042e-03,1.554508723887566557e+00
3.000000000000000062e-03,1.544381174492770015e+00
4.000000000000000083e-03,1.534008753502683842e+00
5.000000000000000104e-03,1.523398682073244137e+00
6.000000000000000125e-03,1.512558265240641298e+00
7.000000000000000146e-03,1.501494887433426850e+00
8.000000000000000167e-03,1.490216007948957477e+00
9.000000000000001055e-03,1.478729156396958011e+00
1.000000000000000021e-02,1.467041928113003157e+00
1.099999999999999936e-02,1.455161979544729700e+00
1.200000000000000025e-02,1.443097023613608254e+00
1.300000000000000114e-02,1.430854825055105639e+00
1.400000000000000029e-02,1.418443195740099583e+00
1.499999999999999944e-02,1.405869989980384149e+00
1.600000000000000033e-02,1.393143099821144260e+00
1.700000000000000122e-02,1.380270450323254350e+00
1.800000000000000211e-02,1.367259994838278203e+00
1.899999999999999953e-02,1.354119710279036326e+00
2.000000000000000042e-02,1.340857592388607911e+00
2.100000000000000130e-02,1.327481651010640640e+00
2.199999999999999872e-02,1.313999905363829157e+00
2.299999999999999961e-02,1.300420379323408593e+00
2.400000000000000050e-02,1.286751096712529741e+00
2.500000000000000139e-02,1.273000076606334741e+00
2.600000000000000228e-02,1.259175328651577663e+00
2.699999999999999969e-02,1.245284848404589084e+00
2.800000000000000058e-02,1.231336612690395960e+00
2.900000000000000147e-02,1.217338574985771471e+00
2.999999999999999889e-02,1.203298660828982847e+00
3.099999999999999978e-02,1.189224763258979189e+00
3.200000000000000067e-02,1.175124738286741577e+00
3.300000000000000155e-02,1.161006400401499272e+00
3.400000000000000244e-02,1.146877518114475469e+00
3.500000000000000333e-02,1.132745809542825555e+00
3.600000000000000422e-02,1.118618938036370025e+00
3.699999999999999817e-02,1.104504507849722872e+00
3.799999999999999906e-02,1.090410059862370273e+00
3.899999999999999994e-02,1.076343067349222249e+00
4.000000000000000083e-02,1.062310931804128389e+00
4.100000000000000172e-02,1.048320978818815474e+00
4.200000000000000261e-02,1.034380454019654172e+00
4.300000000000000350e-02,1.020496519064645558e+00
4.399999999999999745e-02,1.006676247702954274e+00
4.499999999999999833e-02,9.929266218992817139e-01
4.599999999999999922e-02,9.792545280253477369e-01
4.700000000000000011e-02,9.656667531206649668e-01
4.800000000000000100e-02,9.521699812247852446e-01
4.900000000000000189e-02,9.387707897831245596e-01
5.000000000000000278e-02,9.254756461284292524e-01
5.100000000000000366e-02,9.122909040399125313e-01
5.200000000000000455e-02,8.992228003820061932e-01
5.299999999999999850e-02,8.862774518246565592e-01
5.399999999999999939e-02,8.734608516470180328e-01
5.500000000000000028e-02,8.607788666263485045e-01
5.600000000000000117e-02,8.482372340138574218e-01
5.700000000000000205e-02,8.358415585991996188e-01
5.800000000000000294e-02,8.235973098652488167e-01
5.900000000000000383e-02,8.115098192347293127e-01
5.999999999999999778e-02,7.995842774102268624e-01
6.099999999999999867e-02,7.878257318090261530e-01
6.199999999999999956e-02,7.762390840941817416e-01
6.300000000000000044e-02,7.648290878031522855e-01
6.400000000000000133e-02,7.536003460752661587e-01
6.500000000000000222e-02,7.425573094792355944e-01
6.600000000000000311e-02,7.317042739418530006e-01
6.700000000000000400e-02,7.210453787789548041e-01
6.800000000000000488e-02,7.105846048296662332e-01
6.900000000000000577e-02,7.003257726948730610e-01
7.000000000000000666e-02,6.902725410808012718e-01
7.100000000000000755e-02,6.804284052485215506e-01
7.200000000000000844e-02,6.707966955701227807e-01
7.299999999999999545e-02,6.613805761922345594e-01
7.399999999999999634e-02,6.521830438075094660e-01
7.499999999999999722e-02,6.432069265346096465e-01
7.599999999999999811e-02,6.344548829071662288e-01
7.699999999999999900e-02,6.259294009721217966e-01
7.799999999999999989e-02,6.176327974977866564e-01
7.900000000000000078e-02,6.095672172918789045e-01
8.000000000000000167e-02,6.017346326297429160e-01
8.100000000000000255e-02,5.941368427928720441e-01
8.200000000000000344e-02,5.867754737177990343e-01
8.300000000000000433e-02,5.796519777553326147e-01
8.400000000000000522e-02,5.727676335400720964e-01
8.500000000000000611e-02,5.661235459700371120e-01
