joint,a_m,alpha_rad,d_m,theta_rad,t,s
starman_arm_joint1,0.06525,0,1.159,0,1,1
starman_arm_joint2,0,1.5707963267949,0.0304500000000001,1.5707963267949,0,1
starman_arm_joint3,0,1.5707963267949,0.7216,0,1,1
starman_arm_joint4,0,1.5707963267949,0.13775,1.5707963267949,0,1
starman_arm_joint5,0.2571,3.14159265358979,-0.02807,1.5707963267949,0,1
starman_arm_joint6,0.12,-1.5707963267949,-0.028,-1.51843644923507,0,1
starman_arm_joint7,0,0,0,0,0,1
