# Running simulation using ground_truth model.
# Full command line is: /home/aeromike69/Desktop/SystemIdentification/src/VerticalJointId/simulation/runModel_groundTruth.py -if /home/aeromike69/Desktop/SystemIdentification/src/InputData/10-MultiSine/01-MultiSineInput.csv -of /home/aeromike69/Desktop/SystemIdentification/src/VerticalJointId/experiments/01-MultiSineTelemetry_groundTruth.csv -p
# 
# time,desired_current,delayed_current_command,drive_voltage,motor_current,motor_angle,motor_speed,linear_position,linear_speed,motor_encoder,linear_encoder,equivalent_inertia_motor_side,motor_to_linear_gain,tau_motor,tau_gravity,tau_gearbox_friction,tau_screw_friction,net_torque,motor_acceleration,reflected_mass_inertia,commanded_current
3.891999999999999904e+00,-4.543259981029590389e-01,-4.695242267075230291e-01,-1.949190004549166844e+01,-4.602624715412856338e-01,-1.916735242841117497e+02,-2.369038252421024993e+02,-2.440463107972866072e-02,-3.016353185972731402e-02,-1.916831712926139630e+02,-2.440527343749999967e-02,3.004863416814832736e-04,1.273239544735162696e-04,-3.682099772330284931e-02,3.745864374413124948e-02,-4.368019921868045163e-02,0.000000000000000000e+00,-3.059944224875364716e-02,-1.018330552980314110e+02,4.863416814832212941e-07,-4.543259981029590389e-01
3.893000000000000238e+00,-4.392211793504515738e-01,-4.543259981029590389e-01,-1.948188516683207183e+01,-4.451052592841703293e-01,-1.919105258731383969e+02,-2.370015890266334964e+02,-2.443480705926004068e-02,-3.017597953137809638e-02,-1.919132684107968032e+02,-2.443457031250000078e-02,3.004863416814832736e-04,1.273239544735162696e-04,-3.560842074273362634e-02,3.745864374413124948e-02,-4.369038252421025142e-02,0.000000000000000000e+00,-2.937668196265461745e-02,-9.776378453099215449e+01,4.863416814832212941e-07,-4.392211793504515738e-01
3.894000000000000128e+00,-4.242173268806303521e-01,-4.392211793504515738e-01,-1.947166465022564452e+01,-4.300460705868107136e-01,-1.921476211841303439e+02,-2.370953109919342126e+02,-2.446499497184266222e-02,-3.018791258262121247e-02,-1.921495014521311759e+02,-2.446557617187499964e-02,3.004863416814832736e-04,1.273239544735162696e-04,-3.440368564694485515e-02,3.745864374413124948e-02,-4.370015890266334968e-02,0.000000000000000000e+00,-2.816217048841275494e-02,-9.372196530072162091e+01,4.863416814832212941e-07,-4.242173268806303521e-01
3.895000000000000018e+00,-4.093219441261142788e-01,-4.242173268806303521e-01,-1.946124971674954551e+01,-4.150924390472343073e-01,-1.923848062047164547e+02,-2.371850205861136658e+02,-2.449519430660556871e-02,-3.019933476290635396e-02,-1.923795985703140445e+02,-2.449536132812499961e-02,3.004863416814832736e-04,1.273239544735162696e-04,-3.320739512377874486e-02,3.745864374413124948e-02,-4.370953109919342716e-02,0.000000000000000000e+00,-2.695650776871656717e-02,-8.970959417946048120e+01,4.863416814832212941e-07,-4.093219441261142788e-01
3.895999999999999908e+00,-3.945424769994588798e-01,-4.093219441261142788e-01,-1.945065167894733094e+01,-4.002518425149368397e-01,-1.926220769539548030e+02,-2.372707492383464682e+02,-2.452540455667948788e-02,-3.021025007392032224e-02,-1.926188995732241835e+02,-2.452587890624999961e-02,3.004863416814832736e-04,1.273239544735162696e-04,-3.202014740119495106e-02,3.745864374413124948e-02,-4.371850205861137206e-02,0.000000000000000000e+00,-2.576028908671483542e-02,-8.572865223278881786e+01,4.863416814832212941e-07,-3.945424769994588798e-01
3.897000000000000242e+00,-3.798863093976791450e-01,-3.945424769994588798e-01,-1.943988193418212518e+01,-3.855316985792581197e-01,-1.928594294842969816e+02,-2.373525303421700983e+02,-2.455562521944695126e-02,-3.022066276746035451e-02,-1.928643364992858835e+02,-2.455541992187500189e-02,3.004863416814832736e-04,1.273239544735162696e-04,-3.084253588634065096e-02,3.745864374413124948e-02,-4.372707492383465233e-02,0.000000000000000000e+00,-2.457410470663724811e-02,-8.178110382363368558e+01,4.863416814832212941e-07,-3.798863093976791450e-01
3.898000000000000131e+00,-3.653607587360716558e-01,-3.798863093976791450e-01,-1.942895195792883456e+01,-3.709393600860018125e-01,-1.930968598835345631e+02,-2.374303992375942869e+02,-2.458585579679010633e-02,-3.023057734315624800e-02,-1.931005695406202847e+02,-2.458569335937500072e-02,3.004863416814832736e-04,1.273239544735162696e-04,-2.967514880688014445e-02,3.745864374413124948e-02,-4.373525303421701288e-02,0.000000000000000000e+00,-2.339853951679438798e-02,-7.786889542419513077e+01,4.863416814832212941e-07,-3.653607587360716558e-01
3.899000000000000021e+00,-3.509730715140887414e-01,-3.653607587360716558e-01,-1.941787329700936482e+01,-3.564821106850797894e-01,-1.933343642767266033e+02,-2.375043931920308182e+02,-2.461609579533614867e-02,-3.023999854604223977e-02,-1.933275986972273586e+02,-2.461621093750000072e-02,3.004863416814832736e-04,1.273239544735162696e-04,-2.851856885480638301e-02,3.745864374413124948e-02,-4.374303992375942751e-02,0.000000000000000000e+00,-2.223417267517820151e-02,-7.399395443652647941e+01,4.863416814832212941e-07,-3.509730715140887414e-01
3.899999999999999911e+00,-3.367304189161150485e-01,-3.509730715140887414e-01,-1.940665756277470066e+01,-3.421671604118389221e-01,-1.935719388281066529e+02,-2.375745513800532933e+02,-2.464634472670012774e-02,-3.024893136397995702e-02,-1.935607637769859650e+02,-2.464721679687499958e-02,3.004863416814832736e-04,1.273239544735162696e-04,-2.737337283294711404e-02,3.745864374413124948e-02,-4.375043931920308271e-02,0.000000000000000000e+00,-2.108157725787528081e-02,-7.015818802247537178e+01,4.863416814832212941e-07,-3.367304189161150485e-01
3.901000000000000245e+00,-3.226398924497848597e-01,-3.367304189161150485e-01,-1.939531642423819235e+01,-3.280016413049876012e-01,-1.938095797429686513e+02,-2.376409148619970608e+02,-2.467660210772506038e-02,-3.025738102493366957e-02,-1.938123366261992260e+02,-2.467626953124999953e-02,3.004863416814832736e-04,1.273239544735162696e-04,-2.624013130439900934e-02,3.745864374413124948e-02,-4.375745513800533004e-02,0.000000000000000000e+00,-1.994131991052493225e-02,-6.636348194375773346e+01,4.863416814832212941e-07,-3.226398924497848597e-01
3.902000000000000135e+00,-3.087084996246191593e-01,-3.226398924497848597e-01,-1.938386160116381163e+01,-3.139926030636944754e-01,-1.940472832695300553e+02,-2.377035265614099160e+02,-2.470686746071916115e-02,-3.026535299409922192e-02,-1.940577735522609260e+02,-2.470800781250000189e-02,3.004863416814832736e-04,1.273239544735162696e-04,-2.511940824509555775e-02,3.745864374413124948e-02,-4.376409148619971046e-02,0.000000000000000000e+00,-1.881396050302709677e-02,-6.261169941284709495e+01,4.863416814832212941e-07,-3.087084996246191593e-01
3.903000000000000025e+00,-2.949431596735138661e-01,-3.087084996246191593e-01,-1.937230485711375039e+01,-3.001470087467090209e-01,-1.942850457007714340e+02,-2.377624312413653627e+02,-2.473714031369005084e-02,-3.027285297088814706e-02,-1.942848027088679999e+02,-2.473803710937499956e-02,3.004863416814832736e-04,1.273239544735162696e-04,-2.401176069973672347e-02,3.745864374413124948e-02,-4.377035265614099419e-02,0.000000000000000000e+00,-1.770005178772698223e-02,-5.890467995543407653e+01,4.863416814832212941e-07,-2.949431596735138661e-01
3.903999999999999915e+00,-2.813506993200174944e-01,-2.949431596735138661e-01,-1.936065799245907115e+01,-2.864717305159025229e-01,-1.945228633762510810e+02,-2.378176754796504611e+02,-2.476742020057581817e-02,-3.027988688576848178e-02,-1.945210357502023726e+02,-2.476684570312500180e-02,3.004863416814832736e-04,1.273239544735162696e-04,-2.291773844127220280e-02,3.745864374413124948e-02,-4.377624312413654073e-02,0.000000000000000000e+00,-1.660013906126690808e-02,-5.524423828509024759e+01,4.863416814832212941e-07,-2.813506993200174944e-01
3.905000000000000249e+00,-2.679378485937572996e-01,-2.813506993200174944e-01,-1.934893283735816993e+01,-2.729735454272687045e-01,-1.947607326838939343e+02,-2.378693076428413917e+02,-2.479770666147278202e-02,-3.028646089696397301e-02,-1.947664726762641010e+02,-2.479736328125000180e-02,3.004863416814832736e-04,1.273239544735162696e-04,-2.183788363418149789e-02,3.745864374413124948e-02,-4.378176754796504755e-02,0.000000000000000000e+00,-1.551475983034769635e-02,-5.163216319094264861e+01,4.863416814832212941e-07,-2.679378485937572996e-01
3.906000000000000139e+00,-2.547112366968170560e-01,-2.679378485937572996e-01,-1.933714124470666818e+01,-2.596591312716907685e-01,-1.949986500617532101e+02,-2.379173778592803501e+02,-2.482799924285979468e-02,-3.029258138701337866e-02,-1.950057736791742400e+02,-2.482788085937500180e-02,3.004863416814832736e-04,1.273239544735162696e-04,-2.077273050173526064e-02,3.745864374413124948e-02,-4.378693076428413766e-02,0.000000000000000000e+00,-1.444444348158237246e-02,-4.807021643896726459e+01,4.863416814832212941e-07,-2.547112366968170560e-01
3.907000000000000028e+00,-2.416773879235240008e-01,-2.547112366968170560e-01,-1.932529508306327060e+01,-2.465350624682317859e-01,-1.952366119997441842e+02,-2.379619379909679822e+02,-2.485829749781898884e-02,-3.029825495919170886e-02,-1.952235989510540151e+02,-2.485791015624999947e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.972280499745854287e-02,3.745864374413124948e-02,-4.379173778592803518e-02,0.000000000000000000e+00,-1.338971095566175717e-02,-4.456013168763225707e+01,4.863416814832212941e-07,-2.416773879235240008e-01
3.907999999999999918e+00,-2.288427176363053150e-01,-2.416773879235240008e-01,-1.931340622955565323e+01,-2.336078060124542333e-01,-1.954746150413485566e+02,-2.380030416043865387e+02,-2.488860098625278114e-02,-3.030348843379530865e-02,-1.954782397618430139e+02,-2.488867187500000064e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.868862448099633741e-02,3.745864374413124948e-02,-4.379619379909679977e-02,0.000000000000000000e+00,-1.235107442603078365e-02,-4.110361341855255546e+01,4.863416814832212941e-07,-2.288427176363053150e-01
3.909000000000000252e+00,-2.162135283000645725e-01,-2.288427176363053150e-01,-1.930148656277069463e+01,-2.208837174823384542e-01,-1.957126557852888311e+02,-2.380407439402693797e+02,-2.491890927509707657e-02,-3.030828884429280154e-02,-1.957022009568743215e+02,-2.491894531249999947e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.767069739858707564e-02,3.745864374413124948e-02,-4.380030416043866059e-02,0.000000000000000000e+00,-1.132903698227966105e-02,-3.770233588283518600e+01,4.863416814832212941e-07,-2.162135283000645725e-01
3.910000000000000142e+00,-2.037960055775977497e-01,-2.162135283000645725e-01,-1.928954795563333491e+01,-2.083690371043249168e-01,-1.959507308871711757e+02,-2.380751018823331719e+02,-2.494922193853042064e-02,-3.031266343334393723e-02,-1.959476378829360215e+02,-2.494970703125000064e-02,3.004863416814832736e-04,1.273239544735162696e-04,-1.666952296834599279e-02,3.745864374413124948e-02,-4.380407439402693448e-02,0.000000000000000000e+00,-1.032409231845030778e-02,-3.435794206378234605e+01,4.863416814832212941e-07,-2.037960055775977497e-01
