# This is the header
# time,desired_current,delayed_current_command,drive_voltage,motor_current,motor_angle,motor_speed,linear_position,linear_speed,motor_encoder,linear_encoder,equivalent_inertia_motor_side,motor_to_linear_gain,tau_motor,tau_gravity,tau_gearbox_friction,tau_screw_friction,net_torque,motor_acceleration,reflected_mass_inertia,commanded_current
1.099999999999999936e-02,1.455161979544729700e+00,1.467041928113003157e+00,1.943311579672262424e+00,1.462999917378922543e+00,1.652970698513449646e-02,2.595994212559732173e+00,2.104627659635828456e-06,3.305322489334670735e-04,1.645364438189081402e-02,8.584873548000380249e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.170399933903138040e-01,3.745864374413124948e-02,2.023985093672340044e-02,0.000000000000000000e+00,5.934149870945915062e-02,1.974848453257199310e+02,4.863416814832212941e-07,1.455161979544729700e+00
1.200000000000000025e-02,1.443097023613608254e+00,1.455161979544729700e+00,1.943513145143178189e+00,1.449822388901384373e+00,1.931961200116258381e-02,2.789905016028088713e+00,2.459849398882023435e-06,3.552217392461950399e-04,1.930662886552143159e-02,-1.623612292953509350e-05,3.004863416814832736e-04,1.273239544735162696e-04,1.159857911121107560e-01,3.745864374413124948e-02,2.025959942125597421e-02,0.000000000000000000e+00,5.826754794672352189e-02,1.939108034683565052e+02,4.863416814832212941e-07,1.443097023613608254e+00
1.300000000000000114e-02,1.430854825055105639e+00,1.443097023613608254e+00,1.943709628100278808e+00,1.436975962325631517e+00,2.229994311915629857e-02,2.980331117993716195e+00,2.839316942465458912e-06,3.794675435834357819e-04,2.225760820817514196e-02,1.297828494044543844e-05,3.004863416814832736e-04,1.273239544735162696e-04,1.149580769860505253e-01,3.745864374413124948e-02,2.027899050160280811e-02,0.000000000000000000e+00,5.722044274031645728e-02,1.904261019656272822e+02,4.863416814832212941e-07,1.430854825055105639e+00
1.400000000000000029e-02,1.418443195740099583e+00,1.430854825055105639e+00,1.943701371865488525e+00,1.424245114082453689e+00,2.546724756830467951e-02,3.167304449148380829e+00,3.242590669952592753e-06,4.032737274871339554e-04,2.556561910275414670e-02,9.543010177251317971e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.139396091265963001e-01,3.745864374413124948e-02,2.029803311179937189e-02,0.000000000000000000e+00,5.618293227066567530e-02,1.869733311546646348e+02,4.863416814832212941e-07,1.418443195740099583e+00
1.499999999999999944e-02,1.405869989980384149e+00,1.418443195740099583e+00,1.943378571764495799e+00,1.411511833371574376e+00,2.881807307924938791e-02,3.350825510944708263e+00,3.669231024756814035e-06,4.266403548042209371e-04,2.879426719873759768e-02,-1.478016773477129424e-05,3.004863416814832736e-04,1.273239544735162696e-04,1.129209466697259495e-01,3.745864374413124948e-02,2.031673044491483920e-02,0.000000000000000000e+00,5.514557248067985390e-02,1.835210617963274444e+02,4.863416814832212941e-07,1.405869989980384149e+00
1.600000000000000033e-02,1.393143099821144260e+00,1.405869989980384149e+00,1.942682136748007826e+00,1.398713097255935622e+00,3.234895110500223686e-02,3.530878025752848259e+00,4.118796377759308441e-06,4.495653530024946629e-04,3.236590887791101351e-02,2.359018735266961148e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.118970477804748509e-01,3.745864374413124948e-02,2.033508255109447299e-02,0.000000000000000000e+00,5.410332148524913537e-02,1.800525148081401881e+02,4.863416814832212941e-07,1.393143099821144260e+00
1.700000000000000122e-02,1.380270450323254350e+00,1.393143099821144260e+00,1.941581633651663363e+00,1.385816880512144023e+00,3.605638830012492663e-02,3.707437195122689655e+00,4.590841942404531127e-06,4.720455646452222185e-04,3.606406828657373470e-02,2.001388305236084775e-05,3.004863416814832736e-04,1.273239544735162696e-04,1.108653504409715246e-01,3.745864374413124948e-02,2.035308780257528635e-02,0.000000000000000000e+00,5.305361889426497835e-02,1.765591693698411859e+02,4.863416814832212941e-07,1.380270450323254350e+00
1.800000000000000211e-02,1.367259994838278203e+00,1.380270450323254350e+00,1.940062859333506085e+00,1.372808631918222666e+00,3.993686265493632398e-02,3.880474354811397131e+00,5.084919282492184240e-06,4.940773400876537777e-04,3.995523100880125217e-02,7.848257394608226537e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.098246905534578099e-01,3.745864374413124948e-02,2.037074371951226939e-02,0.000000000000000000e+00,5.199530308981430149e-02,1.730371596887073622e+02,4.863416814832212941e-07,1.367259994838278203e+00
1.899999999999999953e-02,1.354119710279036326e+00,1.367259994838278203e+00,1.938120837394548879e+00,1.359683652390069275e+00,4.398682225399079548e-02,4.049959599054468562e+00,5.600576154101775990e-06,5.156568716095913298e-04,4.404733200270490728e-02,3.034887085365941104e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.087746921912055437e-01,3.745864374413124948e-02,2.038804743548114015e-02,0.000000000000000000e+00,5.092800101159314363e-02,1.694852442430712074e+02,4.863416814832212941e-07,1.354119710279036326e+00
2.000000000000000042e-02,1.340857592388607911e+00,1.354119710279036326e+00,1.935755870816127544e+00,1.346442799072527174e+00,4.820268551423265851e-02,4.215863260241865973e+00,6.137356535915381178e-06,5.367803818136051945e-04,4.813624988059385379e-02,-1.236373927640582752e-06,3.004863416814832736e-04,1.273239544735162696e-04,1.077154239258021756e-01,3.745864374413124948e-02,2.040499595990544895e-02,0.000000000000000000e+00,4.985178422176547025e-02,1.659036611873978586e+02,4.863416814832212941e-07,1.340857592388607911e+00
