# This is the header
# time,motor_current,linear_position,linear_speed,motor_angle,motor_speed,linear_encoder,motor_encoder,force_motor,force_gravity,force_friction,net_force,linear_acceleration,commanded_current
1.000000000000000021e-02,1.467041928113003157e+00,1.454175167739819716e-05,2.378250901008602085e-03,1.142106506001030752e-01,1.867873889750482874e+01,1.454175167739819716e-05,1.142106506001030752e-01,9.217696287736032446e+02,2.941995000000000005e+02,1.506522247796730163e+01,6.125049062956360331e+02,2.041683020985453345e-01,1.467041928113003157e+00
1.099999999999999936e-02,1.455161979544729700e+00,1.712168070821251529e-05,2.579929030814318881e-03,1.344733658250763242e-01,2.026271522497324895e+01,1.712168070821251529e-05,1.344733658250763242e-01,9.143052369441808196e+02,2.941995000000000005e+02,1.507134752703025882e+01,6.050343894171504644e+02,2.016781298057168104e-01,1.455161979544729700e+00
1.200000000000000025e-02,1.443097023613608254e+00,1.990075897358997904e-05,2.779078265377464725e-03,1.563001954807285709e-01,2.182682965565227207e+01,1.990075897358997904e-05,1.563001954807285709e-01,9.067246015603616343e+02,2.941995000000000005e+02,1.507739787092442896e+01,5.974477036894372759e+02,1.991492345631457606e-01,1.443097023613608254e+00
1.300000000000000114e-02,1.430854825055105639e+00,2.287642048196789790e-05,2.975661508377919727e-03,1.796709863164535625e-01,2.337079083572498917e+01,2.287642048196789790e-05,1.796709863164535625e-01,8.990326013493257733e+02,2.941995000000000005e+02,1.508337234796132442e+01,5.897497290013643578e+02,1.965832430004547937e-01,1.430854825055105639e+00
1.400000000000000029e-02,1.418443195740099583e+00,2.604606378194883632e-05,3.169643299980937860e-03,2.045653065807541138e-01,2.489432026430056055e+01,2.604606378194883632e-05,2.045653065807541138e-01,8.912341446543051688e+02,2.941995000000000005e+02,1.508926984525133719e+01,5.819453748090537601e+02,1.939817916030179279e-01,1.418443195740099583e+00
1.499999999999999944e-02,1.405869989980384149e+00,2.940705360765842412e-05,3.360989825709586633e-03,2.309624589438523390e-01,2.639715236309819346e+01,2.940705360765842412e-05,2.309624589438523390e-01,8.833341664849461949e+02,2.941995000000000005e+02,1.509508929899942764e+01,5.740395771859466549e+02,1.913465257286488808e-01,1.405869989980384149e+00
1.600000000000000033e-02,1.393143099821144260e+00,3.295672253198958225e-05,3.549668924331157369e-03,2.588414934822392266e-01,2.787903453838686829e+01,3.295672253198958225e-05,2.588414934822392266e-01,8.753376255594837403e+02,2.941995000000000005e+02,1.510082969477128678e+01,5.660372958647125188e+02,1.886790986215708399e-01,1.393143099821144260e+00
1.700000000000000122e-02,1.380270450323254350e+00,3.669237262674500529e-05,3.735650094755421473e-03,2.881812207174033191e-01,2.933972723516411918e+01,3.669237262674500529e-05,2.881812207174033191e-01,8.672495013405223290e+02,2.941995000000000005e+02,1.510649006772993452e+01,5.579435112727924206e+02,1.859811704242641528e-01,1.380270450323254350e+00
1.800000000000000211e-02,1.367259994838278203e+00,4.061127712868822391e-05,3.918904501943216989e-03,3.189602247009653002e-01,3.077900398356194600e+01,4.061127712868822391e-05,3.189602247009653002e-01,8.590747910662306595e+02,2.941995000000000005e+02,1.511206950284266348e+01,5.497632215633879014e+02,1.832544071877959535e-01,1.367259994838278203e+00
1.899999999999999953e-02,1.354119710279036326e+00,4.471068211051266929e-05,4.099404981824448201e-03,3.511568761384379900e-01,3.219665143747271685e+01,4.471068211051266929e-05,3.511568761384379900e-01,8.508185067787519529e+02,2.941995000000000005e+02,1.511756713505829630e+01,5.415014396436937432e+02,1.805004798812312461e-01,1.354119710279036326e+00
2.000000000000000042e-02,1.340857592388607911e+00,4.898780815573784328e-05,4.277126045225173451e-03,3.847493455438303900e-01,3.359246940539242843e+01,4.898780815573784328e-05,3.847493455438303900e-01,8.424856723516296597e+02,2.941995000000000005e+02,1.512298214945473340e+01,5.331631902021748601e+02,1.777210634007249657e-01,1.340857592388607911e+00
2.100000000000000130e-02,1.327481651010640640e+00,5.343985203654191455e-05,4.452043880804073053e-03,4.197156164173140858e-01,3.496627087348367269e+01,5.343985203654191455e-05,4.197156164173140858e-01,8.340813205180556906e+02,2.941995000000000005e+02,1.512831378135675564e+01,5.247535067366990233e+02,1.749178355788996719e-01,1.327481651010640640e+00
2.199999999999999872e-02,1.313999905363829157e+00,5.806398839354109460e-05,4.624136356999177661e-03,4.560334984381793078e-01,3.631788202086521267e+01,5.806398839354109460e-05,4.560334984381793078e-01,8.256104899017378784e+02,2.941995000000000005e+02,1.513356131642412272e+01,5.162774285853137144e+02,1.720924761951045656e-01,1.313999905363829157e+00
2.299999999999999961e-02,1.300420379323408593e+00,6.285737141652742821e-05,4.793383022986332474e-03,4.936806406653190815e-01,3.764714222713974578e+01,6.285737141652742821e-05,4.936806406653190815e-01,8.170782220521745103e+02,2.941995000000000005e+02,1.513872409070997449e+01,5.077399979614644963e+02,1.692466659871548207e-01,1.300420379323408593e+00
2.400000000000000050e-02,1.286751096712529741e+00,6.781713652517891639e-05,4.959765108651482436e-03,5.326345447374952746e-01,3.895390407217620066e+01,6.781713652517891639e-05,5.326345447374952746e-01,8.084895584861385487e+02,2.941995000000000005e+02,1.514380149068959014e+01,4.991462569954489936e+02,1.663820856651496705e-01,1.286751096712529741e+00
